timestamp,dataset,model,embedding_dim,inverse_triples,learning_rate,num_epochs,batch_size,training_time,hits@1,hits@3,hits@10,mrr,mr
2025-07-15 20:07:08,gyafc,RotatE,128,False,0.001,1000,2048,819.9385452270508,0.2796839259721356,0.4118579746309004,0.5151798710750676,0.36412543058395386,2335.431396484375
2025-07-15 20:13:38,gyafc,RotatE,128,False,0.001,50,1024,222.23424768447876,0.24989602828030777,0.3179195258889582,0.3920253690996049,0.300601601600647,1381.8197021484375
2025-07-15 20:17:25,gyafc,RotatE,128,False,0.0005,50,1024,226.2183439731598,0.24989602828030777,0.3179195258889582,0.3920253690996049,0.300601601600647,1381.8197021484375
2025-07-15 20:23:49,gyafc,RotatE,256,False,0.001,50,1024,382.33896827697754,0.29255042628405076,0.38555312954876275,0.47255146600124764,0.356548935174942,1196.59521484375
2025-07-15 20:30:17,gyafc,RotatE,256,False,0.0005,50,1024,386.982492685318,0.29255042628405076,0.38555312954876275,0.47255146600124764,0.356548935174942,1196.59521484375
2025-07-15 20:54:50,gyafc,RotatE,1024,False,0.001,50,1024,1471.2166540622711,0.30240174672489084,0.41074027864420876,0.5045227698066126,0.3746188282966614,1290.4754638671875
2025-07-15 21:20:14,gyafc,RotatE,1024,False,0.0005,50,1024,1522.731252670288,0.30240174672489084,0.41074027864420876,0.5045227698066126,0.3746188282966614,1290.4754638671875
2025-07-15 21:23:03,gyafc,ComplEx,128,False,0.001,50,1024,168.41312766075134,2.5992929923060926e-05,7.797878976918278e-05,0.0002079434393844874,0.00022606461425311863,23414.5390625
2025-07-15 21:25:43,gyafc,ComplEx,128,False,0.0005,50,1024,159.14869832992554,2.5992929923060926e-05,7.797878976918278e-05,0.0002079434393844874,0.00022606461425311863,23414.5390625
2025-07-15 21:29:50,gyafc,ComplEx,256,False,0.001,50,1024,246.01318883895874,5.198585984612185e-05,0.00012996464961530463,0.0002079434393844874,0.0002644339401740581,23476.64453125
2025-07-15 21:33:57,gyafc,ComplEx,256,False,0.0005,50,1024,246.60114002227783,5.198585984612185e-05,0.00012996464961530463,0.0002079434393844874,0.0002644339401740581,23476.64453125
2025-07-15 21:48:54,gyafc,ComplEx,1024,False,0.001,50,1024,895.1285893917084,5.198585984612185e-05,0.0001039717196922437,0.0002859222291536702,0.0002753082080744207,23652.318359375
2025-07-15 22:04:26,gyafc,ComplEx,1024,False,0.0005,50,1024,930.2669250965118,5.198585984612185e-05,0.0001039717196922437,0.0002859222291536702,0.0002753082080744207,23652.318359375
2025-07-15 22:06:15,gyafc,TransE,128,True,0.001,50,1024,108.31602311134338,0.0,0.08429507174048659,0.19042420461634435,0.06569908559322357,2264.881591796875
2025-07-15 22:07:54,gyafc,TransE,128,True,0.0005,50,1024,98.83730602264404,0.0,0.08429507174048659,0.19042420461634435,0.06569908559322357,2264.881591796875
2025-07-15 22:12:23,gyafc,TransE,256,True,0.001,50,1024,268.69256353378296,0.0,0.08289145352464129,0.1981700977334165,0.06735432893037796,2184.1826171875
2025-07-15 22:16:55,gyafc,TransE,256,True,0.0005,50,1024,271.5320408344269,0.0,0.08289145352464129,0.1981700977334165,0.06735432893037796,2184.1826171875
2025-07-15 22:31:45,gyafc,TransE,1024,True,0.001,50,1024,889.5478475093842,0.0,0.05156997296735288,0.15704928259513412,0.051317088305950165,2197.61083984375
2025-07-15 22:46:54,gyafc,TransE,1024,True,0.0005,50,1024,907.7945528030396,0.0,0.05156997296735288,0.15704928259513412,0.051317088305950165,2197.61083984375
2025-07-15 22:49:10,gyafc,DistMult,128,False,0.001,50,1024,135.20885586738586,0.018351008525681015,0.063136826783115,0.10077458931170721,0.04679957777261734,18557.14453125
2025-07-15 22:51:22,gyafc,DistMult,128,False,0.0005,50,1024,131.03838849067688,0.018351008525681015,0.063136826783115,0.10077458931170721,0.04679957777261734,18557.14453125
2025-07-15 22:55:08,gyafc,DistMult,256,False,0.001,50,1024,224.8961684703827,0.10329590351424413,0.14493657725098774,0.1959866916198794,0.13676129281520844,3439.020263671875
2025-07-15 22:58:54,gyafc,DistMult,256,False,0.0005,50,1024,225.58942222595215,0.10329590351424413,0.14493657725098774,0.1959866916198794,0.13676129281520844,3439.020263671875
2025-07-15 23:11:09,gyafc,DistMult,1024,False,0.001,50,1024,734.5630316734314,0.136514867955916,0.22390309835724684,0.3298502807236432,0.20202389359474182,1080.1787109375
2025-07-15 23:23:42,gyafc,DistMult,1024,False,0.0005,50,1024,751.5936396121979,0.136514867955916,0.22390309835724684,0.3298502807236432,0.20202389359474182,1080.1787109375
